x,y,z,u,v,w
-1,0,0,0,0,0
-1,0,0,0,0,0
-1,-0,0,0,0,0
-1,-0,-0,0,0,0
-1,0.0789474,0,0,0,0
-1,4.83413e-18,0.0789474,0,0,0
-1,-0.0789474,9.66826e-18,0,0,0
-1,-1.45024e-17,-0.0789474,0,0,0
-1,0.157895,0,0,0,0
-1,9.66826e-18,0.157895,0,0,0
-1,-0.157895,1.93365e-17,0,0,0
-1,-2.90048e-17,-0.157895,0,0,0
-1,0.236842,0,0,0,0
-1,1.45024e-17,0.236842,0,0,0
-1,-0.236842,2.90048e-17,0,0,0
-1,-4.35072e-17,-0.236842,0,0,0
-1,0.315789,0,0,0,0
-1,1.93365e-17,0.315789,0,0,0
-1,-0.315789,3.86731e-17,0,0,0
-1,-5.80096e-17,-0.315789,0,0,0
-1,0.394737,0,0,0,0
-1,2.41707e-17,0.394737,0,0,0
-1,-0.394737,4.83413e-17,0,0,0
-1,-7.2512e-17,-0.394737,0,0,0
-1,0.473684,0,0,0,0
-1,2.90048e-17,0.473684,0,0,0
-1,-0.473684,5.80096e-17,0,0,0
-1,-8.70144e-17,-0.473684,0,0,0
-1,0.552632,0,0,0,0
-1,3.38389e-17,0.552632,0,0,0
-1,-0.552632,6.76778e-17,0,0,0
-1,-1.01517e-16,-0.552632,0,0,0
-1,0.631579,0,0,0,0
-1,3.86731e-17,0.631579,0,0,0
-1,-0.631579,7.73461e-17,0,0,0
-1,-1.16019e-16,-0.631579,0,0,0
-1,0.710526,0,0,0,0
-1,4.35072e-17,0.710526,0,0,0
-1,-0.710526,8.70144e-17,0,0,0
-1,-1.30522e-16,-0.710526,0,0,0
-1,0.789474,0,0,0,0
-1,4.83413e-17,0.789474,0,0,0
-1,-0.789474,9.66826e-17,0,0,0
-1,-1.45024e-16,-0.789474,0,0,0
-1,0.868421,0,0,0,0
-1,5.31755e-17,0.868421,0,0,0
-1,-0.868421,1.06351e-16,0,0,0
-1,-1.59526e-16,-0.868421,0,0,0
-1,0.947368,0,0,0,0
-1,5.80096e-17,0.947368,0,0,0
-1,-0.947368,1.16019e-16,0,0,0
-1,-1.74029e-16,-0.947368,0,0,0
-1,1.02632,0,0,0,0
-1,6.28437e-17,1.02632,0,0,0
-1,-1.02632,1.25687e-16,0,0,0
-1,-1.88531e-16,-1.02632,0,0,0
-1,1.10526,0,0,0,0
-1,6.76778e-17,1.10526,0,0,0
-1,-1.10526,1.35356e-16,0,0,0
-1,-2.03034e-16,-1.10526,0,0,0
-1,1.18421,0,0,0,0
-1,7.2512e-17,1.18421,0,0,0
-1,-1.18421,1.45024e-16,0,0,0
-1,-2.17536e-16,-1.18421,0,0,0
-1,1.26316,0,0,0,0
-1,7.73461e-17,1.26316,0,0,0
-1,-1.26316,1.54692e-16,0,0,0
-1,-2.32038e-16,-1.26316,0,0,0
-1,1.34211,0,0,0,0
-1,8.21802e-17,1.34211,0,0,0
-1,-1.34211,1.6436e-16,0,0,0
-1,-2.46541e-16,-1.34211,0,0,0
-1,1.42105,0,0,0,0
-1,8.70144e-17,1.42105,0,0,0
-1,-1.42105,1.74029e-16,0,0,0
-1,-2.61043e-16,-1.42105,0,0,0
-1,1.5,0,0,0,0
-1,9.18485e-17,1.5,0,0,0
-1,-1.5,1.83697e-16,0,0,0
-1,-2.75546e-16,-1.5,0,0,0
-0.923077,0,0,0,0,0
-0.923077,0,0,0,0,0
-0.923077,-0,0,0,0,0
-0.923077,-0,-0,0,0,0
-0.923077,0.0789474,0,0,0,0
-0.923077,4.83413e-18,0.0789474,0,0,0
-0.923077,-0.0789474,9.66826e-18,0,0,0
-0.923077,-1.45024e-17,-0.0789474,0,0,0
-0.923077,0.157895,0,0,0,0
-0.923077,9.66826e-18,0.157895,0,0,0
-0.923077,-0.157895,1.93365e-17,0,0,0
-0.923077,-2.90048e-17,-0.157895,0,0,0
-0.923077,0.236842,0,0,0,0
-0.923077,1.45024e-17,0.236842,0,0,0
-0.923077,-0.236842,2.90048e-17,0,0,0
-0.923077,-4.35072e-17,-0.236842,0,0,0
-0.923077,0.315789,0,0,0,0
-0.923077,1.93365e-17,0.315789,0,0,0
-0.923077,-0.315789,3.86731e-17,0,0,0
-0.923077,-5.80096e-17,-0.315789,0,0,0
-0.923077,0.394737,0,0,0,0
-0.923077,2.41707e-17,0.394737,0,0,0
-0.923077,-0.394737,4.83413e-17,0,0,0
-0.923077,-7.2512e-17,-0.394737,0,0,0
-0.923077,0.473684,0,0,0,0
-0.923077,2.90048e-17,0.473684,0,0,0
-0.923077,-0.473684,5.80096e-17,0,0,0
-0.923077,-8.70144e-17,-0.473684,0,0,0
-0.923077,0.552632,0,0,0,0
-0.923077,3.38389e-17,0.552632,0,0,0
-0.923077,-0.552632,6.76778e-17,0,0,0
-0.923077,-1.01517e-16,-0.552632,0,0,0
-0.923077,0.631579,0,0,0,0
-0.923077,3.86731e-17,0.631579,0,0,0
-0.923077,-0.631579,7.73461e-17,0,0,0
-0.923077,-1.16019e-16,-0.631579,0,0,0
-0.923077,0.710526,0,0,0,0
-0.923077,4.35072e-17,0.710526,0,0,0
-0.923077,-0.710526,8.70144e-17,0,0,0
-0.923077,-1.30522e-16,-0.710526,0,0,0
-0.923077,0.789474,0,0,0,0
-0.923077,4.83413e-17,0.789474,0,0,0
-0.923077,-0.789474,9.66826e-17,0,0,0
-0.923077,-1.45024e-16,-0.789474,0,0,0
-0.923077,0.868421,0,0,0,0
-0.923077,5.31755e-17,0.868421,0,0,0
-0.923077,-0.868421,1.06351e-16,0,0,0
-0.923077,-1.59526e-16,-0.868421,0,0,0
-0.923077,0.947368,0,0,0,0
-0.923077,5.80096e-17,0.947368,0,0,0
-0.923077,-0.947368,1.16019e-16,0,0,0
-0.923077,-1.74029e-16,-0.947368,0,0,0
-0.923077,1.02632,0,0,0,0
-0.923077,6.28437e-17,1.02632,0,0,0
-0.923077,-1.02632,1.25687e-16,0,0,0
-0.923077,-1.88531e-16,-1.02632,0,0,0
-0.923077,1.10526,0,0,0,0
-0.923077,6.76778e-17,1.10526,0,0,0
-0.923077,-1.10526,1.35356e-16,0,0,0
-0.923077,-2.03034e-16,-1.10526,0,0,0
-0.923077,1.18421,0,0,0,0
-0.923077,7.2512e-17,1.18421,0,0,0
-0.923077,-1.18421,1.45024e-16,0,0,0
-0.923077,-2.17536e-16,-1.18421,0,0,0
-0.923077,1.26316,0,0,0,0
-0.923077,7.73461e-17,1.26316,0,0,0
-0.923077,-1.26316,1.54692e-16,0,0,0
-0.923077,-2.32038e-16,-1.26316,0,0,0
-0.923077,1.34211,0,0,0,0
